#Frame       nmp-core     lid-core
     123      73.5208     131.7552
     124      72.8263     130.3019
     125      76.8880     126.6086
     126      73.7201     129.1906
     127      72.9046     131.8429
     128      73.1677     129.3323
     129      71.9481     132.3546
     130      71.6616     130.2189
     131      74.0498     131.2962
     132      74.4435     130.7315
     133      77.8034     130.1846
     134      75.2966     131.8022
     135      73.1411     134.6622
     136      75.3832     130.7780
     137      77.2906     131.5616
     138      75.9366     134.9082
     139      75.1450     133.3447
     140      76.3019     132.3113
     141      76.6862     134.0804
     142      77.1381     132.8886
     143      76.0286     135.1438
     144      76.5135     134.3286
     145      75.3494     138.8113
     146      73.9272     138.8887
     147      71.9542     140.8296
     148      72.7190     138.2775
     149      73.6366     140.5675
     150      73.9131     144.3335
     151      72.2314     147.3443
     152      75.8233     143.6115
     153      74.9949     145.2487
     154      72.6474     148.0201
     155      76.1986     148.0451
     156      73.7628     152.2181
     157      74.2108     152.2853
     158      75.4092     152.7552
     159      76.0365     150.8426
     160      77.3441     150.2084
     161      76.9143     151.3512
     162      78.9470     148.2334
     163      78.0657     149.0420
     164      79.6527     146.9062
     165      79.8661     145.2113
     166      79.0013     149.7721
     167      76.8729     150.9679
     168      80.5542     147.8142
     169      80.5521     149.0682
     170      77.8078     148.8218
     171      78.2122     149.0560
     172      77.3943     151.7273
     173      78.2907     148.0594
     174      77.6660     144.7047
     175      76.3764     145.6903
     176      76.8988     144.0277
     177      76.1216     144.3484
     178      74.0086     139.3738
     179      75.7641     139.7413
     180      76.6355     142.6938
     181      77.5284     140.7881
     182      78.3214     141.1654
     183      79.1915     141.7717
     184      77.3927     140.7291
     185      77.1795     142.6053
     186      80.0398     143.8880
     187      78.2227     144.9595
     188      78.0220     147.2149
     189      76.8586     146.0946
     190      76.9868     143.2743
     191      78.2262     143.5540
     192      81.3085     143.8543
     193      79.0815     141.1727
     194      79.3731     141.1495
     195      76.8377     139.1009
     196      80.0173     143.4390
     197      80.0311     143.8783
     198      80.2932     144.7597
     199      79.3248     143.0645
     200      78.8463     141.0795
     201      75.4413     143.5472
     202      75.2056     144.4652
     203      75.6626     143.4994
     204      76.1492     143.5677
     205      75.7653     144.4468
     206      76.2200     143.7245
     207      76.1733     138.6442
     208      76.1411     135.5734
     209      75.3989     135.6721
     210      73.6371     137.1344
     211      73.8919     138.1633
     212      75.4212     138.5166
     213      75.6525     136.7432
     214      75.1586     138.7231
     215      72.4471     137.4114
     216      71.5587     133.5420
     217      73.7355     132.8200
     218      73.6786     136.1827
     219      75.3241     132.6977
     220      74.4771     133.6689
     221      73.6042     135.1568
     222      75.7876     134.6943
     223      73.9964     140.1927
     224      73.2148     134.0469
     225      75.2512     130.4296
     226      74.3090     129.3487
     227      72.8096     126.4154
     228      72.0915     128.1700
     229      74.1199     128.4575
     230      70.7847     129.0921
     231      72.3036     129.7873
     232      71.7392     130.7389
     233      71.5933     130.2856
     234      71.6764     127.6751
     235      72.5581     125.6025
     236      71.7271     127.6570
     237      71.0527     130.1362
     238      73.6363     129.4922
     239      75.4998     126.9387
     240      73.0837     127.1012
     241      72.8387     128.9869
     242      74.5795     125.9889
     243      74.0380     128.8689
     244      72.9141     126.9155
     245      76.2263     127.5497
     246      76.7020     126.2801
     247      76.3719     127.0743
     248      74.8769     126.3361
     249      75.5365     125.8116
     250      75.1304     126.4360
     251      75.3526     125.1287
     252      74.0157     128.9029
     253      74.2861     130.4518
     254      72.7083     135.2689
     255      72.2142     131.3301
     256      71.8110     131.8497
     257      70.6943     130.2422
     258      72.2597     129.0473
     259      71.5781     129.4888
     260      70.9152     127.8365
     261      74.3735     123.6442
     262      72.4474     124.3675
     263      73.9594     125.1105
     264      75.4591     122.9104
     265      76.0936     125.8493
     266      74.3740     127.8855
     267      73.7630     126.2958
     268      73.1257     127.3501
     269      74.3655     125.4784
     270      74.7044     126.8182
     271      76.5379     127.0990
     272      77.3368     127.5448
     273      77.5924     128.5512
     274      79.1028     124.3519
     275      77.2591     124.6931
     276      76.9039     122.8079
     277      76.0762     124.0394
     278      75.9162     123.0029
     279      74.9055     124.2899
     280      75.9096     122.9058
     281      77.6462     122.9941
     282      80.2774     125.6389
     283      76.6732     128.2637
     284      75.2276     128.1147
     285      78.5077     124.8152
     286      78.2132     127.9438
     287      81.5768     128.5269
     288      80.7607     125.2167
     289      82.8127     124.9503
     290      81.1817     121.0097
     291      84.0564     117.4640
     292      83.5636     120.4263
     293      83.2648     121.7625
     294      83.9308     120.4805
     295      82.6228     121.6658
     296      82.3792     120.1940
     297      83.7363     124.0919
     298      83.3421     122.0536
     299      82.5877     118.9257
     300      79.2180     123.4508
     301      79.8376     120.5910
     302      78.8189     126.6820
     303      77.9349     128.0109
     304      78.3287     128.3335
     305      76.9244     132.4100
     306      76.7561     132.7972
     307      75.6964     133.6820
     308      78.0133     129.9876
     309      76.4540     129.6502
     310      73.9437     127.9558
     311      73.4848     127.9546
     312      73.9713     128.3755
     313      70.5220     129.3883
     314      68.6769     131.0191
     315      69.0227     128.8543
     316      66.9190     128.4804
     317      65.2469     128.6391
     318      66.7418     127.5442
     319      66.8463     127.7973
     320      65.6605     127.1224
     321      66.5704     125.3695
     322      65.1930     122.8353
     323      67.1649     124.4288
     324      66.2335     123.6013
     325      67.4884     124.4331
     326      67.4903     123.2007
     327      65.5418     121.7420
     328      68.6359     122.5655
     329      68.1915     121.4709
     330      70.2949     121.4549
     331      68.8388     123.4745
     332      68.5830     122.0797
     333      67.3860     121.9105
     334      68.5416     121.4699
     335      67.9114     118.3039
     336      67.6313     120.4667
     337      69.9747     121.5859
     338      67.6323     119.5918
     339      68.3383     124.1337
     340      67.1796     125.6199
     341      67.7645     126.8125
     342      64.6080     125.1643
     343      64.7742     122.8063
     344      65.6191     125.5851
     345      66.3412     126.4181
     346      68.7562     126.7995
     347      64.8975     125.7579
     348      66.1495     128.0146
     349      66.8129     128.9716
     350      66.4388     130.1810
     351      69.4854     130.3699
     352      68.7846     130.8604
     353      69.4211     132.4401
     354      71.2738     126.4586
     355      69.7463     130.2517
     356      67.7591     130.9001
     357      69.4898     130.2105
     358      69.4495     132.9038
     359      70.7229     131.9473
     360      70.1286     133.3290
     361      70.6866     125.5951
     362      70.3810     124.0551
     363      69.8710     125.7082
     364      69.3853     127.2102
     365      67.4411     123.3806
     366      67.6211     123.9221
     367      69.0384     122.8162
     368      68.5289     121.6019
     369      66.4801     122.9187
     370      68.7103     125.6237
     371      66.6595     125.3454
     372      67.3254     127.3512
     373      67.5751     129.7407
     374      68.1490     129.4857
     375      68.9438     128.0568
     376      68.6950     130.8518
     377      68.6016     130.0249
     378      68.8754     130.8657
     379      71.0326     132.8256
     380      68.4907     131.8416
     381      71.1693     131.2496
     382      70.7840     135.6807
     383      70.0203     129.2139
     384      71.7422     133.1690
     385      73.3945     130.0024
     386      72.2652     128.5084
     387      72.9208     136.1709
     388      76.4968     133.3448
     389      75.8189     130.8393
     390      76.5919     129.8133
     391      75.4799     129.6896
     392      75.7290     131.3881
     393      77.3982     130.1165
     394      78.3671     131.5937
     395      77.7850     131.5990
     396      74.7588     133.3015
     397      73.1429     135.3612
     398      74.7362     133.2557
     399      73.5996     137.8913
     400      76.6267     131.9234
     401      76.3408     133.0763
     402      75.2413     131.5776
     403      77.9229     130.6081
     404      74.9636     131.1953
     405      74.3767     133.4417
     406      73.6923     132.5514
     407      72.7566     135.0891
     408      74.3824     130.8699
     409      74.9217     129.6354
     410      74.3613     131.1973
     411      73.8409     130.7766
     412      73.5814     130.7046
     413      73.5668     130.4362
     414      77.2142     130.8927
     415      75.4588     131.7854
     416      72.6406     131.3364
     417      73.6249     133.1115
     418      72.3404     136.9712
     419      70.3686     134.9874
     420      69.8534     135.3136
     421      71.4820     135.8368
     422      71.7931     132.8916
     423      71.1388     132.6849
     424      72.8588     130.4648
     425      71.6152     132.8746
     426      71.8595     131.4114
     427      71.8640     133.6189
     428      69.3264     132.4854
     429      67.9095     133.4154
     430      71.0762     136.6655
     431      70.7462     137.3123
     432      71.5033     136.0882
     433      71.7112     134.4131
     434      70.5047     129.7990
     435      72.1939     130.1650
     436      68.6561     132.3744
     437      73.3311     133.5936
     438      73.1949     132.6693
     439      72.4682     134.3050
     440      72.4332     134.6753
     441      73.6682     131.6046
     442      73.3275     131.0305
     443      73.3417     133.6815
     444      72.7841     135.3663
     445      72.9386     132.3282
     446      71.7759     132.8819
     447      70.7611     132.3088
     448      72.0283     132.5018
     449      70.8970     132.8588
     450      71.4449     131.0127
     451      72.6343     132.9002
     452      69.6887     131.0344
     453      71.0343     132.2541
     454      71.2511     132.8784
     455      72.7812     134.8166
     456      70.5949     135.0737
     457      70.9271     137.2117
     458      71.8727     136.6697
     459      71.1447     136.0796
     460      70.2205     135.7007
     461      69.1507     135.0349
     462      70.2743     132.5198
     463      70.7036     129.2613
     464      70.8383     128.1397
     465      70.7907     126.4503
     466      70.2855     126.4632
     467      69.3881     125.3410
     468      70.7401     124.1421
     469      71.5481     125.6953
     470      69.2232     126.7222
     471      71.4820     122.4988
     472      69.4404     123.8502
     473      65.7788     126.3476
     474      64.5501     126.4138
     475      65.1731     126.6926
     476      64.1596     124.8561
     477      64.7063     126.5852
     478      68.7476     124.7982
     479      65.5233     125.2441
     480      64.5588     126.8093
     481      63.7924     128.1511
     482      61.5773     128.6760
     483      64.4949     127.6023
     484      63.5925     127.6850
     485      64.4152     127.0422
     486      64.2522     126.6835
     487      63.5818     126.8717
     488      60.5847     125.3637
     489      60.5787     119.4291
     490      61.2619     125.9839
     491      60.3758     123.8326
     492      60.2650     123.3567
     493      58.7159     123.2769
     494      61.0242     122.4348
     495      61.6685     126.3903
     496      60.2992     126.4630
     497      59.8059     125.8850
     498      60.0707     125.9013
     499      61.3589     126.5927
     500      61.1495     126.3793
     501      60.6770     126.2885
     502      59.6245     126.2310
     503      61.3710     128.8337
     504      59.3413     128.2888
     505      58.5240     129.7664
     506      58.7646     129.4966
     507      60.3973     125.6221
     508      60.6331     126.7332
     509      59.8958     129.0968
     510      59.0687     127.1724
     511      57.9532     129.4999
     512      60.0045     127.6565
     513      58.3562     125.3326
     514      58.2188     126.8369
     515      60.3532     123.9945
     516      60.2934     120.9862
     517      60.8215     124.8839
     518      57.1887     123.9653
     519      57.0236     128.3083
     520      57.5471     126.0618
     521      59.3784     123.7116
     522      56.8323     122.9895
     523      58.3256     126.0871
     524      58.7778     125.4273
     525      59.4636     127.5485
     526      59.3732     127.6215
     527      58.7196     127.2134
     528      59.2698     131.1586
     529      60.1553     133.7134
     530      61.1819     133.8460
     531      63.1835     135.1887
     532      63.2746     132.8117
     533      63.8901     131.0875
     534      62.5923     136.0802
     535      59.1355     132.2398
     536      60.0156     130.5318
     537      63.3441     130.6185
     538      61.9614     131.0986
     539      59.5737     135.5400
     540      61.9919     131.3789
     541      60.4246     129.3838
     542      61.4222     128.6180
     543      62.2828     130.0530
     544      63.9629     130.3701
     545      64.4182     131.8512
     546      62.8468     133.2217
     547      61.3534     132.0457
     548      62.9493     129.3740
     549      62.0937     131.8680
     550      61.2038     131.7878
     551      63.0649     131.9715
     552      64.0868     129.3848
     553      64.1386     128.0370
     554      63.4441     130.7117
     555      62.5348     128.2318
     556      62.5431     126.8623
     557      62.3627     126.1312
     558      60.4596     124.3339
     559      60.8108     124.4131
     560      60.0493     125.6992
     561      60.2252     121.7578
     562      60.3510     120.1181
     563      59.5691     121.2288
     564      60.6149     118.9955
     565      59.7924     120.0142
     566      59.1866     119.9046
     567      58.9669     117.5303
     568      58.7656     122.4919
     569      59.2569     119.8216
     570      58.0578     122.0015
     571      57.4172     119.8037
     572      58.4713     120.8060
     573      58.6521     119.3778
     574      57.3405     121.9585
     575      58.9874     122.1388
     576      59.7480     121.6146
     577      60.3297     124.7226
     578      61.9338     124.3525
     579      59.9943     125.3526
     580      60.2704     125.9660
     581      58.8087     126.3779
     582      60.6034     127.6614
     583      61.3466     126.5783
     584      59.8497     125.6924
     585      61.8930     124.4342
     586      60.5343     119.9969
     587      61.7004     122.9454
     588      61.6408     121.8605
     589      61.0309     125.0169
     590      60.8348     128.9689
     591      59.4909     126.1673
     592      60.1368     129.6124
     593      61.3222     130.6063
     594      58.8434     131.7939
     595      60.1774     131.2117
     596      62.1354     127.0120
     597      62.6220     127.5023
     598      63.2670     128.8918
     599      65.3723     128.2496
     600      62.3271     131.6230
     601      63.4272     128.3929
     602      64.5301     129.3689
     603      62.8055     130.0397
     604      61.3667     126.9961
     605      60.4660     127.0063
     606      58.4256     127.5942
     607      57.9564     129.5874
     608      56.4358     131.2153
     609      58.2231     129.1658
     610      59.1905     126.2351
     611      59.4742     126.4995
     612      61.9965     125.4853
     613      62.5249     129.2799
     614      60.1072     127.4422
     615      58.4965     130.5708
     616      56.8949     130.6541
     617      58.0826     130.8728
     618      57.4173     129.9528
     619      59.1324     130.1318
     620      58.9871     128.8580
     621      57.6026     130.3498
     622      59.4462     129.4916
     623      57.8925     127.6790
     624      56.2170     127.7691
     625      55.5606     124.3071
     626      57.9612     127.3042
     627      57.9821     130.8621
     628      56.7230     129.0256
     629      54.9195     129.8876
     630      56.7597     131.0134
     631      58.8204     128.0920
     632      58.8083     127.5470
     633      58.9866     127.0726
     634      61.3912     128.6120
     635      58.5475     129.0878
     636      59.2887     128.2257
     637      59.9187     128.3433
     638      58.7116     126.9313
     639      57.9966     128.7565
     640      61.0814     128.2914
     641      60.4680     128.1129
     642      61.1610     132.2048
     643      59.2166     131.4110
     644      59.7424     132.4311
     645      59.6876     135.9244
     646      58.7581     133.1535
     647      60.1573     130.5904
     648      62.0939     129.4614
     649      64.2245     128.9115
     650      63.2067     131.1979
     651      61.3338     131.8469
     652      58.7877     132.0874
     653      60.9296     128.7785
     654      58.5880     130.9532
     655      59.2350     128.9580
     656      60.2249     121.1690
     657      58.6059     123.6308
     658      59.6608     124.8604
     659      62.0311     124.6382
     660      62.7220     120.8061
     661      58.6967     124.6875
     662      59.3915     122.6766
     663      61.4936     124.2167
     664      60.1895     121.9846
     665      60.0141     122.8264
     666      60.8688     126.1254
     667      62.8956     121.4214
     668      61.9212     120.5952
     669      59.6981     121.8273
     670      58.6920     121.4558
     671      59.5495     119.7914
     672      57.8524     119.1708
     673      55.7863     123.1240
     674      55.3561     120.9948
     675      59.2229     118.1770
     676      57.1689     119.8933
     677      57.8494     120.1340
     678      57.5651     123.1465
     679      57.4785     123.5976
     680      56.6299     122.0552
     681      59.4254     121.8186
     682      58.1120     121.4035
     683      55.2205     125.4536
     684      54.7664     121.6995
     685      51.8273     124.5065
     686      54.4879     121.7329
     687      55.2157     118.8357
     688      52.4225     124.1701
     689      53.4903     121.3472
     690      54.4823     125.0297
     691      54.7141     125.9080
     692      54.5263     125.9691
     693      54.0578     126.8530
     694      54.0919     124.2610
     695      53.2184     127.5486
     696      54.1863     126.7249
     697      55.1061     127.6786
     698      56.7538     125.2687
     699      55.1244     127.5638
     700      54.5684     125.3487
     701      55.8685     124.1168
     702      55.8009     125.0168
     703      53.1870     126.4354
     704      54.5403     127.2468
     705      53.9617     127.9619
     706      54.6878     127.7764
     707      54.3212     126.5728
     708      55.3709     124.1469
     709      53.6963     126.3861
     710      53.4114     123.8691
     711      51.9493     124.0563
     712      52.0575     126.3473
     713      54.4760     125.2601
     714      51.7239     125.8620
     715      51.3798     124.3180
     716      51.5005     127.0944
     717      49.7930     129.4854
     718      51.3830     129.9156
     719      51.5548     129.3156
     720      51.6794     128.7084
     721      51.1988     133.0542
     722      52.2445     130.1517
     723      52.9329     127.3746
     724      51.6654     128.6915
     725      51.3896     129.5295
     726      52.2354     128.9386
     727      53.8408     128.0981
     728      53.2618     127.8483
     729      54.4996     126.0021
     730      52.7299     123.8497
     731      51.9856     126.3262
     732      53.9177     128.2836
     733      52.1369     126.5067
     734      51.5098     126.5448
     735      51.5935     128.8600
     736      52.5234     129.2574
     737      51.8402     126.1013
     738      49.9766     127.4053
     739      51.3948     125.0723
     740      51.5141     126.8746
     741      51.5019     124.8308
     742      50.5497     126.5468
     743      51.2506     123.4897
     744      51.9278     124.2800
     745      52.4008     123.3355
     746      52.6321     122.4417
     747      53.1390     125.4995
     748      53.6572     126.8314
     749      50.9466     123.9747
     750      51.0706     123.6320
     751      50.9037     124.4442
     752      50.1498     127.0125
     753      50.3057     124.5510
     754      49.4941     126.0403
     755      48.7336     124.6289
     756      50.5977     124.3384
     757      51.1356     120.1817
     758      49.9015     125.4217
     759      49.4881     123.2321
     760      51.5892     121.4149
     761      50.7456     120.7892
     762      49.4068     119.8104
     763      50.6390     120.3697
     764      50.6354     122.6986
     765      50.8609     122.4754
     766      49.3033     124.6688
     767      52.9129     123.1627
     768      52.7818     124.9578
     769      53.6227     124.1732
     770      52.1393     124.0655
     771      54.5717     123.2339
